CIIU Seccion,Tamaño muestral,N° trabajadores,Distribución %,CV
N,526,685972,13.379713030499968,0.3354363810374188
F,565,654414,12.764182099475791,0.1350113993456788
A,369,581068,11.33358663503256,0.16700725982268474
C,783,550176,10.731045868152565,0.18689011152394572
G,882,504948,9.848884991406207,0.13509542135200525
H,552,450449,8.785895568442562,0.3740213929385147
M,291,432568,8.437131116397332,0.24219392903680917
K,69,379109,7.3944266344396175,0.5103912212112466
J,199,236199,4.607002673711262,0.36306277505002155
I,887,186557,3.638747826195505,0.11910178504684249
O,24,118243,2.30630026861943,0.82478055679172535
L,221,96036,1.8731582638899185,0.36737952269076324
D,36,53318,1.0399543120713344,0.41953916588695656
Q,80,50259,0.9802892788625454,0.2771434144352185
R,125,44938,0.876504498965858,0.30391628684470123
E,148,44514,0.8682344845557481,0.25242270764155417
P,49,36297,0.7079639458579321,0.4101340166250759
S,148,16415,0.3201704871272545,0.20413536162657303
B,11,5476,0.10680801629660953,0.4403506269525848
Total,5965,5126956,100,1.8758163921515664e-4
