CIIU Seccion,Tamaño muestral,N° trabajadores,Distribución %,CV
"Agricultura, ganadería, silvicultura y pesca",51,33779,19.36980331441023,0.18116336957948298
Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,60,30488,17.482653821893457,0.33437585291231453
Industrias manufactureras,73,26216,15.032972074086818,0.15289346659155187
Actividades de servicios administrativos y de apoyo,36,25997,14.9073914788692,0.3451457218002304
Construcción,34,23096,13.243878662767361,0.2467343089072147
Transporte y almacenamiento,55,14506,8.318137507884627,0.20351346322917757
Actividades de alojamiento y de servicio de comidas,60,8867,5.084580537874879,0.16092667683147044
"Suministro de agua; evacuación de aguas residuales, gestión de desechos y descontaminación",15,3336,1.9129537244108035,0.756832576949221
Información y comunicaciones,16,2232,1.279889901943919,0.5513121796950905
"Actividades profesionales, científicas y técnicas",20,2201,1.2621136533058088,0.3591500087736634
Actividades de atención de la salud humana y de asistencia social,8,1011,0.5797350765525546,0.5000258750469653
Otras actividades de servicios,18,938,0.5378748781466827,0.28458335250588973
"Actividades artísticas, de entretenimiento y recreativas",9,548,0.31423820173175065,0.496353402941196
Enseñanza,5,433,0.24829405355811687,0.6634764653663798
Actividades inmobiliarias,15,412,0.23625207867423592,0.25365423391893155
Actividades financieras y de seguros,5,148,0.0848672515625896,0.42601791344067164
"Suministro de electricidad, gas, vapor y aire acondicionado",1,132,0.07569241355582317,1
Administración pública y defensa; planes de seguridad social de afiliación obligatoria,1,50,0.028671368771145133,0.9999999999999994
Total,482,174390,100,0.0926096999733974
