CIIU Seccion,Tamaño muestral,N° empresas,Distribución %,CV
Industrias manufactureras,63,420,25.39298669891173,0.43157656517497633
"Agricultura, ganadería, silvicultura y pesca",35,289,17.472793228536883,0.16138854772883532
Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,70,223,13.482466747279323,0.08179419776386815
Construcción,26,213,12.877871825876664,0.11303057023866615
Actividades de alojamiento y de servicio de comidas,59,182,11.003627569528417,0.062479037942011824
Transporte y almacenamiento,39,123,7.4365175332527205,0.08089328756964388
"Actividades profesionales, científicas y técnicas",16,71,4.292623941958888,0.25653880994505573
Actividades de servicios administrativos y de apoyo,19,70,4.2321644498186215,0.20881461016070357
"Actividades artísticas, de entretenimiento y recreativas",7,22,1.3301088270858523,0.29806538746827277
Actividades inmobiliarias,2,11,0.6650544135429262,0.7329325225725953
"Suministro de electricidad, gas, vapor y aire acondicionado",3,9,0.5441354292623942,0.44721359549995793
Actividades financieras y de seguros,1,4,0.24183796856106407,1
Actividades de atención de la salud humana y de asistencia social,1,3,0.18137847642079807,0.9999999999999977
Administración pública y defensa; planes de seguridad social de afiliación obligatoria,1,3,0.18137847642079807,1.0000000000000002
Explotación de minas y canteras,1,3,0.18137847642079807,0.9999999999999969
Otras actividades de servicios,1,3,0.18137847642079807,1.0000000000000002
"Suministro de agua; evacuación de aguas residuales, gestión de desechos y descontaminación",1,3,0.18137847642079807,1
Información y comunicaciones,1,2,0.12091898428053204,1.0000000000000002
Total,346,1654,100,0.11232413146050345
